Title,Release Year,Release Month,Release Date,Release Season,Worldwide Gross,Oscar_Win,GG_Win,BAFTA_Win,Total_Awards_Won
Garakowa -Restore the World-,2016,1,2016-01-09,Awards Season,,0,0,0,0
The Legend of Tarzan,2016,6,2016-06-29,Summer Blockbuster,357243061.0,0,0,0,0
Crayon Shin-chan: Fast Asleep! Dreaming World Big Assault!,2016,4,2016-04-16,Spring,,0,0,0,0
Allegiant,2016,3,2016-03-09,Spring,179246868.0,0,0,0,0
Exposed,2016,1,2016-01-22,Awards Season,,0,0,0,0
The Moment You Fall in Love,2016,12,2016-12-17,Holiday Season,,0,0,0,0
The Invitation,2016,4,2016-04-08,Spring,,0,0,0,0
One Piece: Heart of Gold,2016,12,2016-12-31,Holiday Season,,0,0,0,0
The Sea of Trees,2016,4,2016-04-27,Spring,,0,0,0,0
Free State of Jones,2016,6,2016-06-24,Summer Blockbuster,25035950.0,0,0,0,0
Hairspray Live!,2016,12,2016-12-07,Holiday Season,,0,0,0,0
"No manches, Frida",2016,9,2016-09-02,Awards Season,,0,0,0,0
Skiptrace,2016,7,2016-07-21,Summer Blockbuster,136579287.0,0,0,0,0
The Huntsman: Winter's War,2016,4,2016-04-06,Spring,164989338.0,0,0,0,0
Justice League vs. Teen Titans,2016,3,2016-03-26,Spring,,0,0,0,0
Hunt for the Wilderpeople,2016,3,2016-03-31,Spring,,0,0,0,0
3 Generations,2016,10,2016-10-27,Awards Season,,0,0,0,0
A Family Man,2016,9,2016-09-13,Awards Season,,0,0,0,0
Pee-wee's Big Holiday,2016,3,2016-03-15,Spring,,0,0,0,0
Kill Command,2016,5,2016-05-13,Spring,,0,0,0,0
Star Trek Beyond,2016,7,2016-07-07,Summer Blockbuster,343471816.0,1,0,0,1
True Memoirs of an International Assassin,2016,11,2016-11-11,Holiday Season,,0,0,0,0
Initial D Legend 3: Dream,2016,2,2016-02-06,Awards Season,,0,0,0,0
I've Always Liked You,2016,4,2016-04-23,Spring,,0,0,0,0
Hacker,2016,9,2016-09-15,Awards Season,,0,0,0,0
Tom and Jerry: Back to Oz,2016,6,2016-06-21,Summer Blockbuster,,0,0,0,0
Certain Women,2016,9,2016-09-25,Awards Season,,0,0,0,0
Mom's Friend 2,2016,9,2016-09-01,Awards Season,,0,0,0,0
Two Is a Family,2016,12,2016-12-07,Holiday Season,49619118.0,0,0,0,0
The Light Between Oceans,2016,9,2016-09-02,Awards Season,25975621.0,0,0,0,0
Dirty Grandpa,2016,1,2016-01-20,Awards Season,94073028.0,0,0,0,0
Pete's Dragon,2016,8,2016-08-10,Summer Blockbuster,143695338.0,0,0,0,0
PERSONA3 THE MOVIE #4 Winter of Rebirth,2016,1,2016-01-23,Awards Season,,0,0,0,0
Moana,2016,10,2016-10-13,Awards Season,643331111.0,1,1,1,3
My Cousin the Sexologist,2016,7,2016-07-20,Summer Blockbuster,,0,0,0,0
The Lion Guard: Return of the Roar,2016,1,2016-01-25,Awards Season,,0,0,0,0
Rock Dog,2016,7,2016-07-08,Summer Blockbuster,23139802.0,0,0,0,0
A United Kingdom,2016,11,2016-11-25,Holiday Season,,0,0,0,0
Almost Christmas,2016,11,2016-11-11,Holiday Season,42580920.0,0,0,0,0
The Shallows,2016,6,2016-06-24,Summer Blockbuster,119100758.0,0,0,0,0
Pop in Q,2016,12,2016-12-23,Holiday Season,,0,0,0,0
The Late Bloomer,2016,10,2016-10-07,Awards Season,,0,0,0,0
LEGO DC Comics Super Heroes: Justice League - Cosmic Clash,2016,2,2016-02-16,Awards Season,,0,0,0,0
Equity,2016,7,2016-07-29,Summer Blockbuster,,0,0,0,0
13th,2016,10,2016-10-07,Awards Season,,1,0,1,2
KanColle Movie,2016,11,2016-11-26,Holiday Season,,0,0,0,0
Don't Blame the Kid,2016,5,2016-05-13,Spring,,0,0,0,0
Grease Live,2016,1,2016-01-31,Awards Season,,0,0,0,0
Bad Santa 2,2016,11,2016-11-23,Holiday Season,24079268.0,0,0,0,0
Deepwater Horizon,2016,9,2016-09-28,Awards Season,121790373.0,1,0,1,2
Beauty Salon: Special Service,2016,12,2016-12-29,Holiday Season,,0,0,0,0
DC Films Presents Dawn of the Justice League,2016,1,2016-01-19,Awards Season,,0,0,0,0
GARO: Divine Flame,2016,4,2016-04-01,Spring,,0,0,0,0
Must See TV: An All Star Tribute to James Burrows,2016,2,2016-02-21,Awards Season,,0,0,0,0
Bleed for This,2016,11,2016-11-04,Holiday Season,,0,0,0,0
Yoga Hosers,2016,7,2016-07-08,Summer Blockbuster,,0,0,0,0
The Comedian,2016,12,2016-12-09,Holiday Season,,0,0,0,0
A Monster Calls,2016,10,2016-10-07,Awards Season,47309313.0,0,0,0,0
The Last Laugh,2016,4,2016-04-18,Spring,,0,0,0,0
The Monkey King 2,2016,1,2016-01-22,Awards Season,193678298.0,0,0,0,0
The Fundamentals of Caring,2016,6,2016-06-16,Summer Blockbuster,,0,0,0,0
The Void,2016,9,2016-09-22,Awards Season,,0,0,0,0
Supreme,2016,5,2016-05-05,Spring,,0,0,0,0
Science Fiction Volume One: The Osiris Child,2016,2,2016-02-17,Awards Season,,0,0,0,0
Before I Wake,2016,4,2016-04-07,Spring,,0,0,0,0
Lady Macbeth,2016,12,2016-12-12,Holiday Season,,0,0,0,0
Accel World: Infinite Burst,2016,7,2016-07-23,Summer Blockbuster,,0,0,0,0
Denial,2016,9,2016-09-30,Awards Season,,0,0,0,0
Pandora,2016,12,2016-12-07,Holiday Season,30896701.0,0,0,0,0
Tunnel,2016,8,2016-08-10,Summer Blockbuster,52444295.0,0,0,0,0
Middle School: The Worst Years of My Life,2016,10,2016-10-07,Awards Season,23316139.0,0,0,0,0
HyperNormalisation,2016,10,2016-10-25,Awards Season,,0,0,0,0
Kinmoza! Pretty Days,2016,11,2016-11-12,Holiday Season,,0,0,0,0
Whiskey Tango Foxtrot,2016,3,2016-03-04,Spring,24972139.0,0,0,0,0
Luck-Key,2016,10,2016-10-13,Awards Season,48913975.0,0,0,0,0
Manhattan Night,2016,5,2016-05-20,Spring,,0,0,0,0
31,2016,9,2016-09-15,Awards Season,,0,0,0,0
Scooby-Doo! and WWE: Curse of the Speed Demon,2016,7,2016-07-23,Summer Blockbuster,,0,0,0,0
Sister's Younger Husband,2016,10,2016-10-11,Awards Season,,0,0,0,0
The Love Witch,2016,11,2016-11-11,Holiday Season,,0,0,0,0
"I, Daniel Blake",2016,10,2016-10-21,Awards Season,,0,0,0,0
Sound! Euphonium the Movie – Welcome to the Kitauji High School Concert Band,2016,4,2016-04-23,Spring,,0,0,0,0
Nocturnal Animals,2016,11,2016-11-04,Holiday Season,30311857.0,1,1,1,3
Kuroko's Basketball - Movie: Winter Cup - Shadow and Light,2016,9,2016-09-03,Awards Season,,0,0,0,0
Keanu,2016,4,2016-04-29,Spring,,0,0,0,0
Kubo and the Two Strings,2016,8,2016-08-18,Summer Blockbuster,76249438.0,1,0,1,2
High & Low The Movie,2016,7,2016-07-16,Summer Blockbuster,,0,0,0,0
Morgan,2016,9,2016-09-01,Awards Season,,0,0,0,0
Sultan,2016,7,2016-07-06,Summer Blockbuster,87280000.0,0,0,0,0
Kung Fu Panda: Secrets of the Scroll,2016,1,2016-01-05,Awards Season,,0,0,0,0
A Street Cat Named Bob,2016,11,2016-11-04,Holiday Season,,0,0,0,0
Mobile Suit Gundam: The Origin IV – Eve of Destiny,2016,11,2016-11-19,Holiday Season,,0,0,0,0
Maggie's Plan,2016,4,2016-04-27,Spring,,0,0,0,0
Marauders,2016,7,2016-07-01,Summer Blockbuster,,0,0,0,0
DC Super Hero Girls: Hero of the Year,2016,8,2016-08-09,Summer Blockbuster,,0,0,0,0
Holidays,2016,4,2016-04-22,Spring,,0,0,0,0
Adventures in Babysitting,2016,6,2016-06-24,Summer Blockbuster,,0,0,0,0
The Assignment,2016,6,2016-06-08,Summer Blockbuster,,0,0,0,0
The Mermaid,2016,2,2016-02-08,Awards Season,553810228.0,0,0,0,0
The Limehouse Golem,2016,10,2016-10-18,Awards Season,,0,0,0,0
Hurricane Bianca,2016,6,2016-06-03,Summer Blockbuster,,0,0,0,0
