Title,Release Year,Release Month,Release Date,Release Season,Worldwide Gross,Oscar_Win,GG_Win,BAFTA_Win,Total_Awards_Won
Spies in Disguise,2019,12,2019-12-04,Holiday Season,171616764.0,0,0,0,0
The Irishman,2019,11,2019-11-01,Holiday Season,,1,0,1,2
Promare,2019,5,2019-05-24,Spring,,0,0,0,0
The Curse of La Llorona,2019,4,2019-04-17,Spring,123233739.0,0,0,0,0
It Chapter Two,2019,9,2019-09-04,Awards Season,473093228.0,0,0,0,0
Brave Blue World: Racing to Solve Our Water Crisis,2019,12,2019-12-06,Holiday Season,,0,0,0,0
Fighting with My Family,2019,2,2019-02-14,Awards Season,41503392.0,0,0,0,0
How to Train Your Dragon: Homecoming,2019,12,2019-12-03,Holiday Season,,0,0,0,0
Yesterday,2019,6,2019-06-26,Summer Blockbuster,154608856.0,0,0,0,0
Dark Waters,2019,11,2019-11-22,Holiday Season,23108017.0,0,0,0,0
Red Shoes and the Seven Dwarfs,2019,7,2019-07-25,Summer Blockbuster,,0,0,0,0
Queen of Hearts,2019,3,2019-03-27,Spring,,0,0,0,0
Hellboy,2019,4,2019-04-10,Spring,55064690.0,0,0,0,0
Terminator: Dark Fate,2019,10,2019-10-23,Awards Season,261119292.0,0,0,0,0
Ma,2019,5,2019-05-29,Spring,61220784.0,0,0,0,0
The Dead Don't Die,2019,5,2019-05-15,Spring,,0,0,0,0
Booksmart,2019,5,2019-05-24,Spring,24959607.0,0,0,0,0
Godzilla: King of the Monsters,2019,5,2019-05-29,Spring,387300138.0,0,0,0,0
The King,2019,10,2019-10-11,Awards Season,,0,0,0,0
6 Underground,2019,12,2019-12-10,Holiday Season,,0,0,0,0
Jojo Rabbit,2019,10,2019-10-18,Awards Season,90335025.0,1,1,1,3
Fractured,2019,9,2019-09-22,Awards Season,,0,0,0,0
Uri: The Surgical Strike,2019,1,2019-01-11,Awards Season,39346577.0,0,0,0,0
Rocketman,2019,5,2019-05-17,Spring,195320400.0,1,1,1,3
The Boy Who Harnessed the Wind,2019,2,2019-02-14,Awards Season,,0,0,0,0
Polar,2019,1,2019-01-25,Awards Season,,0,0,0,0
Her Blue Sky,2019,10,2019-10-11,Awards Season,,0,0,0,0
Code 8,2019,12,2019-12-06,Holiday Season,,0,0,0,0
Countdown,2019,10,2019-10-24,Awards Season,48021766.0,0,0,0,0
21 Bridges,2019,10,2019-10-24,Awards Season,49939757.0,0,0,0,0
Just Mercy,2019,12,2019-12-25,Holiday Season,50901502.0,0,0,0,0
Breakthrough,2019,4,2019-04-10,Spring,50444358.0,1,0,0,1
Dora and the Lost City of Gold,2019,8,2019-08-08,Summer Blockbuster,120597108.0,0,0,0,0
Bombshell,2019,12,2019-12-13,Holiday Season,61404394.0,1,1,1,3
Triple Frontier,2019,3,2019-03-06,Spring,,0,0,0,0
What Men Want,2019,2,2019-02-08,Awards Season,72216294.0,0,0,0,0
Demon Slayer: Kimetsu no Yaiba - Sibling's Bond,2019,3,2019-03-29,Spring,,0,0,0,0
The Peanut Butter Falcon,2019,8,2019-08-09,Summer Blockbuster,23712097.0,0,0,0,0
Crawl,2019,7,2019-07-11,Summer Blockbuster,91542097.0,0,0,0,0
Long Shot,2019,5,2019-05-02,Spring,53873809.0,0,0,0,0
Doctor Sleep,2019,10,2019-10-30,Awards Season,72381712.0,0,0,0,0
Scary Stories to Tell in the Dark,2019,8,2019-08-08,Summer Blockbuster,104545505.0,0,0,0,0
Uncut Gems,2019,8,2019-08-30,Summer Blockbuster,50023780.0,0,0,0,0
Cold Pursuit,2019,2,2019-02-07,Awards Season,76419755.0,0,0,0,0
Ride Your Wave,2019,6,2019-06-21,Summer Blockbuster,,0,0,0,0
A Beautiful Day in the Neighborhood,2019,9,2019-09-07,Awards Season,67925733.0,1,0,0,1
Good Boys,2019,8,2019-08-14,Summer Blockbuster,111173598.0,0,0,0,0
Hotel Mumbai,2019,3,2019-03-14,Spring,21314816.0,0,0,0,0
Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,2019,2,2019-02-15,Awards Season,,0,0,0,0
Code Geass: Lelouch of the Re;Surrection,2019,2,2019-02-09,Awards Season,,0,0,0,0
A Dog's Journey,2019,5,2019-05-03,Spring,78870908.0,0,0,0,0
The Highwaymen,2019,3,2019-03-15,Spring,,0,0,0,0
Shazam!,2019,3,2019-03-29,Spring,365971656.0,0,0,0,0
A Dog's Way Home,2019,1,2019-01-10,Awards Season,80708134.0,0,0,0,0
Between Two Ferns: The Movie,2019,9,2019-09-20,Awards Season,,0,0,0,0
Harriet,2019,11,2019-11-01,Holiday Season,43347017.0,1,1,0,2
Steven Universe: The Movie,2019,10,2019-10-07,Awards Season,,0,0,0,0
Shaft,2019,6,2019-06-14,Summer Blockbuster,21360215.0,0,0,0,0
Re:Zero - Starting Life in Another World The Frozen Bond,2019,11,2019-11-08,Holiday Season,,0,0,0,0
Fate/stay night: Heaven's Feel II. Lost Butterfly,2019,1,2019-01-12,Awards Season,,0,0,0,0
The Art of Racing in the Rain,2019,8,2019-08-08,Summer Blockbuster,33766787.0,0,0,0,0
Downton Abbey,2019,9,2019-09-12,Awards Season,194694725.0,0,0,0,0
47 Meters Down: Uncaged,2019,8,2019-08-15,Summer Blockbuster,47582563.0,0,0,0,0
Violet Evergarden: Eternity and the Auto Memory Doll,2019,9,2019-09-06,Awards Season,,0,0,0,0
Lady and the Tramp,2019,11,2019-11-12,Holiday Season,,0,0,0,0
Doraemon: Nobita's Chronicle of the Moon Exploration,2019,3,2019-03-01,Spring,65406606.0,0,0,0,0
This Changes Everything,2019,6,2019-06-28,Summer Blockbuster,,0,0,0,0
Missing Link,2019,4,2019-04-04,Spring,26565710.0,1,0,0,1
Happy Death Day 2U,2019,2,2019-02-13,Awards Season,64600152.0,0,0,0,0
Jay and Silent Bob Reboot,2019,10,2019-10-15,Awards Season,,0,0,0,0
Last Christmas,2019,11,2019-11-07,Holiday Season,123446172.0,0,0,0,0
QT8: The First Eight,2019,10,2019-10-21,Awards Season,,0,0,0,0
Kesari,2019,3,2019-03-21,Spring,,0,0,0,0
Dragged Across Concrete,2019,2,2019-02-21,Awards Season,,0,0,0,0
Brightburn,2019,5,2019-05-09,Spring,33224654.0,0,0,0,0
The Farewell,2019,7,2019-07-12,Summer Blockbuster,23076657.0,0,0,0,0
UglyDolls,2019,5,2019-05-01,Spring,32450241.0,0,0,0,0
The Goldfinch,2019,9,2019-09-12,Awards Season,,0,0,0,0
Plus One,2019,6,2019-06-14,Summer Blockbuster,,0,0,0,0
The Report,2019,9,2019-09-12,Awards Season,,0,0,0,0
Pokémon the Movie: Mewtwo Strikes Back - Evolution,2019,7,2019-07-12,Summer Blockbuster,,0,0,0,0
City Hunter: Shinjuku Private Eyes,2019,2,2019-02-08,Awards Season,,0,0,0,0
Togo,2019,12,2019-12-20,Holiday Season,,0,0,0,0
The Hustle,2019,5,2019-05-09,Spring,97409779.0,0,0,0,0
Three Days and a Life,2019,9,2019-09-18,Awards Season,,0,0,0,0
Miracle in Cell No. 7,2019,10,2019-10-10,Awards Season,,0,0,0,0
Tolkien,2019,5,2019-05-03,Spring,,0,0,0,0
The Kid Who Would Be King,2019,1,2019-01-16,Awards Season,32140970.0,0,0,0,0
Captive State,2019,3,2019-03-15,Spring,,0,0,0,0
The Laundromat,2019,9,2019-09-27,Awards Season,,0,0,0,0
Psycho-Pass: Sinners of the System - Case.2 First Guardian,2019,2,2019-02-15,Awards Season,,0,0,0,0
Don't Let Go,2019,8,2019-08-30,Summer Blockbuster,,0,0,0,0
The Addams Family,2019,10,2019-10-10,Awards Season,203044905.0,0,0,0,0
Children of the Sea,2019,6,2019-06-07,Summer Blockbuster,,0,0,0,0
Dumbo,2019,3,2019-03-27,Spring,353284621.0,0,0,0,0
Makmum,2019,8,2019-08-15,Summer Blockbuster,,0,0,0,0
NiNoKuni,2019,8,2019-08-23,Summer Blockbuster,,0,0,0,0
Isn't It Romantic,2019,2,2019-02-13,Awards Season,48791187.0,0,0,0,0
Zombieland: Double Tap,2019,10,2019-10-09,Awards Season,122810399.0,0,0,0,0
The Kitchen,2019,8,2019-08-08,Summer Blockbuster,,0,0,0,0
Late Night,2019,1,2019-01-25,Awards Season,22386555.0,0,0,0,0
Dolemite Is My Name,2019,10,2019-10-04,Awards Season,,0,0,0,0
Playing with Fire,2019,11,2019-11-08,Holiday Season,69412425.0,0,0,0,0
Always Be My Maybe,2019,5,2019-05-31,Spring,,0,0,0,0
Jexi,2019,10,2019-10-10,Awards Season,,0,0,0,0
Saekano the Movie: Finale,2019,10,2019-10-26,Awards Season,,0,0,0,0
3 from Hell,2019,9,2019-09-16,Awards Season,,0,0,0,0
Reign of the Supermen,2019,1,2019-01-13,Awards Season,,0,0,0,0
The Intruder,2019,5,2019-05-03,Spring,36599361.0,0,0,0,0
Kabaneri of the Iron Fortress: The Battle of Unato,2019,5,2019-05-10,Spring,,0,0,0,0
"No manches, Frida 2: paraíso destruido",2019,3,2019-03-15,Spring,,0,0,0,0
Cats,2019,12,2019-12-19,Holiday Season,75558925.0,0,0,0,0
Ashfall,2019,12,2019-12-19,Holiday Season,61354854.0,0,0,0,0
"Extremely Wicked, Shockingly Evil and Vile",2019,5,2019-05-02,Spring,,0,0,0,0
Child's Play,2019,6,2019-06-19,Summer Blockbuster,44907074.0,0,0,0,0
The Perfect Date,2019,4,2019-04-12,Spring,,0,0,0,0
Motherless Brooklyn,2019,10,2019-10-31,Awards Season,,0,0,0,0
Black and Blue,2019,10,2019-10-25,Awards Season,22741061.0,0,0,0,0
I See You,2019,9,2019-09-11,Awards Season,,0,0,0,0
The Grudge,2019,12,2019-12-31,Holiday Season,49511319.0,0,0,0,0
The Informer,2019,8,2019-08-30,Summer Blockbuster,,0,0,0,0
Skin,2019,7,2019-07-26,Summer Blockbuster,,0,0,0,0
A Shaun the Sheep Movie: Farmageddon,2019,9,2019-09-26,Awards Season,43100248.0,0,0,0,0
Stuber,2019,7,2019-07-11,Summer Blockbuster,32390945.0,0,0,0,0
Girls und Panzer das Finale: Part II,2019,6,2019-06-15,Summer Blockbuster,,0,0,0,0
Rim of the World,2019,5,2019-05-24,Spring,,0,0,0,0
Seven Days War,2019,12,2019-12-13,Holiday Season,,0,0,0,0
In the Tall Grass,2019,9,2019-09-20,Awards Season,,0,0,0,0
"Where'd You Go, Bernadette",2019,8,2019-08-16,Summer Blockbuster,,0,0,0,0
Extreme Job,2019,1,2019-01-23,Awards Season,119932733.0,0,0,0,0
Curiosa,2019,4,2019-04-03,Spring,,0,0,0,0
Teen Titans Go! vs. Teen Titans,2019,7,2019-07-21,Summer Blockbuster,,0,0,0,0
Black Fox,2019,10,2019-10-05,Awards Season,,0,0,0,0
Triple Threat,2019,3,2019-03-19,Spring,,0,0,0,0
The Prodigy,2019,2,2019-02-06,Awards Season,,0,0,0,0
White Snake,2019,1,2019-01-11,Awards Season,62098770.0,0,0,0,0
Game of Thrones: The Last Watch,2019,5,2019-05-26,Spring,,0,0,0,0
Velvet Buzzsaw,2019,2,2019-02-01,Awards Season,,0,0,0,0
Little,2019,4,2019-04-04,Spring,48987096.0,0,0,0,0
Batman: Hush,2019,7,2019-07-19,Summer Blockbuster,,0,0,0,0
The Aeronauts,2019,11,2019-11-04,Holiday Season,,0,0,0,0
Saga of Tanya the Evil: The Movie,2019,2,2019-02-08,Awards Season,,0,0,0,0
Iron Mask,2019,8,2019-08-16,Summer Blockbuster,,0,0,0,0
Porno,2019,6,2019-06-28,Summer Blockbuster,,0,0,0,0
Deadwood: The Movie,2019,5,2019-05-31,Spring,,0,0,0,0
Charlie's Angels,2019,11,2019-11-14,Holiday Season,73279888.0,0,0,0,0
Avengement,2019,5,2019-05-24,Spring,,0,0,0,0
El Chicano,2019,5,2019-05-03,Spring,,0,0,0,0
Still Laugh-In: The Stars Celebrate,2019,5,2019-05-14,Spring,,0,0,0,0
Psycho-Pass: Sinners of the System - Case.1 Crime and Punishment,2019,1,2019-01-25,Awards Season,,0,0,0,0
The Silence,2019,5,2019-05-16,Spring,,0,0,0,0
Hello World,2019,9,2019-09-20,Awards Season,,0,0,0,0
Greta,2019,2,2019-02-28,Awards Season,18653107.0,0,0,0,0
Better Days,2019,10,2019-10-25,Awards Season,227313644.0,0,0,0,0
Tall Girl,2019,9,2019-09-13,Awards Season,,0,0,0,0
Made in Abyss: Wandering Twilight,2019,1,2019-01-18,Awards Season,,0,0,0,0
Celebrating Marvel's Stan Lee,2019,12,2019-12-20,Holiday Season,,0,0,0,0
The Dirt,2019,3,2019-03-22,Spring,,0,0,0,0
My Hero Academia: All Might Rising,2019,2,2019-02-13,Awards Season,,0,0,0,0
Bad Education,2019,9,2019-09-08,Awards Season,,0,0,0,0
Playmobil: The Movie,2019,6,2019-06-10,Summer Blockbuster,,0,0,0,0
Danger Close: The Battle of Long Tan,2019,8,2019-08-08,Summer Blockbuster,,0,0,0,0
Batman vs Teenage Mutant Ninja Turtles,2019,3,2019-03-31,Spring,,0,0,0,0
Noelle,2019,11,2019-11-12,Holiday Season,,0,0,0,0
Zeroville,2019,9,2019-09-19,Awards Season,,0,0,0,0
Brittany Runs a Marathon,2019,8,2019-08-23,Summer Blockbuster,,0,0,0,0
Queen & Slim,2019,11,2019-11-27,Holiday Season,47834125.0,0,0,0,0
Buddy Games,2019,11,2019-11-18,Holiday Season,,0,0,0,0
Miss Bala,2019,2,2019-02-01,Awards Season,,0,0,0,0
Trouble,2019,8,2019-08-08,Summer Blockbuster,,0,0,0,0
The Vanishing,2019,1,2019-01-04,Awards Season,,0,0,0,0
The Good Liar,2019,11,2019-11-08,Holiday Season,33856058.0,0,0,0,0
Seberg,2019,12,2019-12-13,Holiday Season,,0,0,0,0
Close,2019,2,2019-02-22,Awards Season,,0,0,0,0
Wonder Woman: Bloodlines,2019,10,2019-10-04,Awards Season,,0,0,0,0
It Feels So Good,2019,8,2019-08-23,Summer Blockbuster,,0,0,0,0
Someone Great,2019,4,2019-04-19,Spring,,0,0,0,0
Crayon Shin-chan: Honeymoon Hurricane ~The Lost Hiroshi~,2019,4,2019-04-19,Spring,,0,0,0,0
Horrible Histories: The Movie - Rotten Romans,2019,7,2019-07-26,Summer Blockbuster,,0,0,0,0
The Lego Movie 2: The Second Part,2019,2,2019-02-06,Awards Season,192306508.0,0,0,0,0
Fragtime,2019,11,2019-11-22,Holiday Season,,0,0,0,0
The Chambermaid,2019,3,2019-03-25,Spring,,0,0,0,0
Mr. Osomatsu the Movie,2019,3,2019-03-15,Spring,,0,0,0,0
Honey Boy,2019,9,2019-09-28,Awards Season,,0,0,0,0
The Queen's Corgi,2019,2,2019-02-13,Awards Season,35515687.0,0,0,0,0
Sound! Euphonium the Movie – Our Promise: A Brand New Day,2019,4,2019-04-19,Spring,,0,0,0,0
Tune in for Love,2019,8,2019-08-28,Summer Blockbuster,,0,0,0,0
The Beach Bum,2019,3,2019-03-21,Spring,,0,0,0,0
The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,2019,10,2019-10-28,Awards Season,,0,0,0,0
The Poison Rose,2019,5,2019-05-23,Spring,,0,0,0,0
Scooby-Doo! Return to Zombie Island,2019,9,2019-09-03,Awards Season,,0,0,0,0
Vivarium,2019,9,2019-09-07,Awards Season,,0,0,0,0
LEGO DC Batman: Family Matters,2019,7,2019-07-21,Summer Blockbuster,,0,0,0,0
Love Live! Sunshine!! The School Idol Movie Over the Rainbow,2019,1,2019-01-04,Awards Season,,0,0,0,0
In the Shadow of the Moon,2019,9,2019-09-27,Awards Season,,0,0,0,0
The Best of Enemies,2019,4,2019-04-05,Spring,,0,0,0,0
Lupin the Third: Prison of the Past,2019,11,2019-11-29,Holiday Season,,0,0,0,0
Psycho-Pass: Sinners of the System - Case.3 On the Other Side of Love and Hate,2019,3,2019-03-18,Spring,,0,0,0,0
Ophelia,2019,6,2019-06-28,Summer Blockbuster,,0,0,0,0
The Farm,2019,4,2019-04-19,Spring,,0,0,0,0
HOMECOMING: A film by Beyoncé,2019,4,2019-04-16,Spring,,0,0,0,0
Dads,2019,9,2019-09-06,Awards Season,,0,0,0,0
The Wonderland,2019,4,2019-04-26,Spring,,0,0,0,0
Lupin III: The First,2019,12,2019-12-06,Holiday Season,,0,0,0,0
Sextuplets,2019,8,2019-08-16,Summer Blockbuster,,0,0,0,0
Blue Story,2019,11,2019-11-22,Holiday Season,,0,0,0,0
I Am Mother,2019,6,2019-06-07,Summer Blockbuster,,0,0,0,0
Can You Keep a Secret?,2019,9,2019-09-13,Awards Season,,0,0,0,0
Rabid,2019,12,2019-12-13,Holiday Season,,0,0,0,0
Lucy in the Sky,2019,9,2019-09-20,Awards Season,,0,0,0,0
The Aftermath,2019,3,2019-03-01,Spring,,0,0,0,0
Mr. Jones,2019,10,2019-10-03,Awards Season,,0,0,0,0
After the Wedding,2019,8,2019-08-09,Summer Blockbuster,,0,0,0,0
I Believe,2019,6,2019-06-06,Summer Blockbuster,,0,0,0,0
Pinocchio,2019,12,2019-12-19,Holiday Season,23841090.0,0,0,0,0
"Live in Front of a Studio Audience: ""All in the Family"" and ""Good Times""",2019,12,2019-12-18,Holiday Season,,0,0,0,0
Bring the Soul: The Movie,2019,8,2019-08-07,Summer Blockbuster,,0,0,0,0
Freaks,2019,9,2019-09-12,Awards Season,,0,0,0,0
Justice League vs. the Fatal Five,2019,3,2019-03-29,Spring,,0,0,0,0
A Madea Family Funeral,2019,3,2019-03-01,Spring,74747725.0,0,0,0,0
Color Out of Space,2019,9,2019-09-07,Awards Season,,0,0,0,0
A Cinderella Story: Christmas Wish,2019,10,2019-10-15,Awards Season,,0,0,0,0
Kingdom,2019,4,2019-04-19,Spring,50574061.0,0,0,0,0
Them That Follow,2019,8,2019-08-02,Summer Blockbuster,,0,0,0,0
The Death & Life of John F. Donovan,2019,3,2019-03-13,Spring,,0,0,0,0
Trading Paint,2019,2,2019-02-22,Awards Season,,0,0,0,0
Lupin the Third: Goodbye Partner,2019,1,2019-01-25,Awards Season,,0,0,0,0
Hope Gap,2019,10,2019-10-03,Awards Season,,0,0,0,0
Polaroid,2019,1,2019-01-10,Awards Season,,0,0,0,0
Haunt,2019,9,2019-09-13,Awards Season,,0,0,0,0
Secret Obsession,2019,7,2019-07-18,Summer Blockbuster,,0,0,0,0
The Professor and the Madman,2019,3,2019-03-07,Spring,,0,0,0,0
Judy,2019,9,2019-09-27,Awards Season,45701880.0,1,1,1,3
Dreamland,2019,11,2019-11-27,Holiday Season,,0,0,0,0
Wild Rose,2019,4,2019-04-12,Spring,,0,0,0,0
Balkan Line,2019,3,2019-03-21,Spring,,0,0,0,0
The Red Sea Diving Resort,2019,7,2019-07-28,Summer Blockbuster,,0,0,0,0
The Art of Self-Defense,2019,7,2019-07-12,Summer Blockbuster,,0,0,0,0
The Vast of Night,2019,6,2019-06-01,Summer Blockbuster,,0,0,0,0
The Spooky Tale of Captain Underpants: Hack-a-ween,2019,10,2019-10-08,Awards Season,,0,0,0,0
Trinity Seven: Heaven's Library & Crimson Lord,2019,3,2019-03-29,Spring,,0,0,0,0
The Courier,2019,11,2019-11-22,Holiday Season,,0,0,0,0
How High 2,2019,8,2019-08-24,Summer Blockbuster,,0,0,0,0
Brian Banks,2019,8,2019-08-09,Summer Blockbuster,,0,0,0,0
Overcomer,2019,8,2019-08-22,Summer Blockbuster,38026103.0,0,0,0,0
Luce,2019,8,2019-08-02,Summer Blockbuster,,0,0,0,0
The Legend of Hei,2019,8,2019-08-27,Summer Blockbuster,48507082.0,0,0,0,0
Greed,2019,9,2019-09-07,Awards Season,,0,0,0,0
Sweetheart,2019,1,2019-01-28,Awards Season,,0,0,0,0
Trial by Fire,2019,5,2019-05-17,Spring,,0,0,0,0
Wine Country,2019,5,2019-05-08,Spring,,0,0,0,0
Climate Change: The Facts,2019,4,2019-04-18,Spring,,0,0,0,0
Making Waves: The Art of Cinematic Sound,2019,10,2019-10-25,Awards Season,,0,0,0,0
Lupin the Third: Fujiko's Lie,2019,5,2019-05-31,Spring,,0,0,0,0
Foxter and Max,2019,9,2019-09-19,Awards Season,,0,0,0,0
The Wolf's Call,2019,2,2019-02-20,Awards Season,,0,0,0,0
Scooby-Doo! and the Curse of the 13th Ghost,2019,2,2019-02-05,Awards Season,,0,0,0,0
American Skin,2019,9,2019-09-01,Awards Season,,0,0,0,0
Otherhood,2019,8,2019-08-13,Summer Blockbuster,,0,0,0,0
"Berlin, I Love You",2019,12,2019-12-04,Holiday Season,,0,0,0,0
Crypto,2019,4,2019-04-12,Spring,,0,0,0,0
Impetigore,2019,10,2019-10-17,Awards Season,,0,0,0,0
Gloria Bell,2019,3,2019-03-07,Spring,,0,0,0,0
Cold Blood,2019,5,2019-05-15,Spring,,0,0,0,0
Primal,2019,12,2019-12-27,Holiday Season,,0,0,0,0
The Hole in the Ground,2019,3,2019-03-01,Spring,,0,0,0,0
Grand Isle,2019,12,2019-12-06,Holiday Season,,0,0,0,0
Running with the Devil,2019,8,2019-08-29,Summer Blockbuster,,0,0,0,0
Above Suspicion,2019,6,2019-06-20,Summer Blockbuster,,0,0,0,0
I Hate Kids,2019,1,2019-01-18,Awards Season,,0,0,0,0
The Final Wish,2019,1,2019-01-24,Awards Season,,0,0,0,0
The Personal History of David Copperfield,2019,11,2019-11-07,Holiday Season,,0,0,0,0
The Last Black Man in San Francisco,2019,6,2019-06-07,Summer Blockbuster,,0,0,0,0
A Million Little Pieces,2019,8,2019-08-30,Summer Blockbuster,,0,0,0,0
Brexit: The Uncivil War,2019,1,2019-01-19,Awards Season,,0,0,0,0
Crown Vic,2019,11,2019-11-01,Holiday Season,,0,0,0,0
Kim Possible,2019,2,2019-02-15,Awards Season,,0,0,0,0
Lying and Stealing,2019,7,2019-07-12,Summer Blockbuster,,0,0,0,0
Lev Yashin. The Dream Goalkeeper,2019,11,2019-11-28,Holiday Season,,0,0,0,0
Lucifer,2019,3,2019-03-28,Spring,,0,0,0,0
Invader Zim: Enter the Florpus,2019,8,2019-08-16,Summer Blockbuster,,0,0,0,0
Promare / Side: Galo,2019,5,2019-05-24,Spring,,0,0,0,0
Driven,2019,8,2019-08-15,Summer Blockbuster,,0,0,0,0
High Flying Bird,2019,1,2019-01-27,Awards Season,,0,0,0,0
The Game Changers,2019,9,2019-09-16,Awards Season,,0,0,0,0
EXIT,2019,7,2019-07-31,Summer Blockbuster,69501772.0,0,0,0,0
War,2019,10,2019-10-02,Awards Season,67179155.0,0,0,0,0
Rent,2019,1,2019-01-27,Awards Season,,0,0,0,0
Eli,2019,10,2019-10-18,Awards Season,,0,0,0,0
The Painted Bird,2019,9,2019-09-12,Awards Season,,0,0,0,0
Burn,2019,8,2019-08-23,Summer Blockbuster,,0,0,0,0
A Hidden Life,2019,8,2019-08-27,Summer Blockbuster,,0,0,0,0
Down,2019,2,2019-02-01,Awards Season,,0,0,0,0
Our Friend,2019,9,2019-09-04,Awards Season,,0,0,0,0
Svaha: The Sixth Finger,2019,2,2019-02-20,Awards Season,,0,0,0,0
The Rookies,2019,7,2019-07-12,Summer Blockbuster,,0,0,0,0
Falling Inn Love,2019,8,2019-08-29,Summer Blockbuster,,0,0,0,0
A Vigilante,2019,3,2019-03-29,Spring,,0,0,0,0
Last Breath,2019,4,2019-04-05,Spring,,0,0,0,0
Blinded by the Light,2019,8,2019-08-09,Summer Blockbuster,,0,0,0,0
Pet Sematary,2019,4,2019-04-04,Spring,113118226.0,0,0,0,0
Fidelity,2019,10,2019-10-31,Awards Season,,0,0,0,0
Saaho,2019,8,2019-08-29,Summer Blockbuster,,0,0,0,0
Escape Plan: The Extractors,2019,6,2019-06-20,Summer Blockbuster,,0,0,0,0
Robert the Bruce,2019,6,2019-06-28,Summer Blockbuster,,0,0,0,0
The Dude in Me,2019,1,2019-01-09,Awards Season,,0,0,0,0
High & Low The Worst,2019,10,2019-10-04,Awards Season,,0,0,0,0
Troop Zero,2019,2,2019-02-01,Awards Season,,0,0,0,0
Ip Man 4: The Finale,2019,12,2019-12-19,Holiday Season,176345966.0,0,0,0,0
The Devil Has a Name,2019,8,2019-08-04,Summer Blockbuster,,0,0,0,0
True History of the Kelly Gang,2019,11,2019-11-23,Holiday Season,,0,0,0,0
Line of Duty,2019,12,2019-12-25,Holiday Season,,0,0,0,0
The Last Summer,2019,5,2019-05-03,Spring,,0,0,0,0
The Hummingbird Project,2019,3,2019-03-15,Spring,,0,0,0,0
The Knight Before Christmas,2019,11,2019-11-21,Holiday Season,,0,0,0,0
Never Surrender: A Galaxy Quest Documentary,2019,11,2019-11-26,Holiday Season,,0,0,0,0
Transparent: Musicale Finale,2019,9,2019-09-27,Awards Season,,0,0,0,0
Daniel Isn't Real,2019,12,2019-12-06,Holiday Season,,0,0,0,0
Jesús de Nazaret: El Hijo de Dios,2019,4,2019-04-18,Spring,,0,0,0,0
The SpongeBob Musical: Live on Stage!,2019,12,2019-12-07,Holiday Season,,0,0,0,0
Made in Abyss: Journey's Dawn,2019,1,2019-01-04,Awards Season,,0,0,0,0
The Wedding Year,2019,9,2019-09-20,Awards Season,,0,0,0,0
Paradise Hills,2019,8,2019-08-29,Summer Blockbuster,,0,0,0,0
The Bad Guys: Reign of Chaos,2019,9,2019-09-11,Awards Season,,0,0,0,0
Adopt a Highway,2019,11,2019-11-01,Holiday Season,,0,0,0,0
Phil,2019,7,2019-07-05,Summer Blockbuster,,0,0,0,0
Trick,2019,10,2019-10-18,Awards Season,,0,0,0,0
I Am Richard Pryor,2019,3,2019-03-12,Spring,,0,0,0,0
FX's A Christmas Carol,2019,12,2019-12-19,Holiday Season,,0,0,0,0
The Black Godfather,2019,6,2019-06-06,Summer Blockbuster,,0,0,0,0
Waiting for the Barbarians,2019,9,2019-09-06,Awards Season,,0,0,0,0
Charlie Says,2019,5,2019-05-10,Spring,,0,0,0,0
We Have Always Lived in the Castle,2019,5,2019-05-17,Spring,,0,0,0,0
Les Misérables,2019,11,2019-11-14,Holiday Season,54606372.0,1,0,0,1
Get Duked!,2019,3,2019-03-08,Spring,,0,0,0,0
Above the Shadows,2019,5,2019-05-31,Spring,,0,0,0,0
Little Monsters,2019,8,2019-08-29,Summer Blockbuster,,0,0,0,0
Linda Ronstadt: The Sound of My Voice,2019,9,2019-09-06,Awards Season,,0,0,0,0
Iron Sky: The Coming Race,2019,1,2019-01-25,Awards Season,,0,0,0,0
Student of the Year 2,2019,5,2019-05-10,Spring,,0,0,0,0
Ip Man: Kung Fu Master,2019,12,2019-12-23,Holiday Season,,0,0,0,0
An Affair to Die For,2019,2,2019-02-01,Awards Season,,0,0,0,0
The Jesus Rolls,2019,10,2019-10-17,Awards Season,,0,0,0,0
Human Lost,2019,10,2019-10-22,Awards Season,,0,0,0,0
Promare / Side: Lio,2019,5,2019-05-24,Spring,,0,0,0,0
Badland,2019,11,2019-11-01,Holiday Season,,0,0,0,0
Airplane Mode,2019,8,2019-08-02,Summer Blockbuster,,0,0,0,0
Marvel Rising: Battle of the Bands,2019,8,2019-08-28,Summer Blockbuster,,0,0,0,0
Point Blank,2019,7,2019-07-12,Summer Blockbuster,,0,0,0,0
Mike Wallace Is Here,2019,7,2019-07-26,Summer Blockbuster,,0,0,0,0
Beyond the Law,2019,12,2019-12-06,Holiday Season,,0,0,0,0
Her Smell,2019,4,2019-04-12,Spring,,0,0,0,0
Sorry We Missed You,2019,10,2019-10-04,Awards Season,,0,0,0,0
The Divine Fury,2019,7,2019-07-31,Summer Blockbuster,,0,0,0,0
Fisherman's Friends,2019,3,2019-03-15,Spring,,0,0,0,0
"Live in Front of a Studio Audience: Norman Lear's ""All in the Family"" and ""The Jeffersons""",2019,5,2019-05-22,Spring,,0,0,0,0
Sibyl,2019,5,2019-05-24,Spring,,0,0,0,0
